Price_CLP,Price_UF,Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,id,Realtor
188627000,5300,234903,Santiago,Pucara,2,2,49,58,1,11717012,Corredores Asociados - OpenBrokers
208201500,5850,259280,Ñuñoa,Eduardocastillovelazco/exequielfernandez,2,2,54,58,,11813661,Propiedades Ricardo Vial y Cia. Ltda.
65592370,1843,81684,PadreHurtado,Cercanoacaminoamelipilla,2,1,53,58,1,10983189,Unne
71180000,2000,88643,SanBernardo,LenkaFranulicSanBernardo,3,2,55,58,,11683129,Easyprop
62500000,1756,77833,Pudahuel,CalleLebreles,2,1,44,58,,8732798,Unne
160000000,4496,199253,PuenteAlto,Mandarina,4,2,108,58,3,10899256,Houm
78689490,2211,97994,PuenteAlto,ClaudioArrau3700,2,1,56,58,2,8629814,
65000000,1826,80946,PuenteAlto,Sgto.Menadier1475,3,1,58,58,,10808425,
55000000,1545,68493,Providencia,BarrioItalia/Infante,1,1,55,59,,11722804,Mauricio Pino Propiedades
129903500,3650,161773,Cerrillos,AvAeropuerto/Gral.JoséBernalesRamirez,3,2,151,59,2,8899634,Luz Godoy Propiedades
86839600,2440,108144,Maipú,CalleHerodes,3,2,65,60,1,11986356,Inverhome & Aseslegalproperties Spa
52566430,1477,65463,Paine,painecentro,4,2,60,60,2,11981501,Corredores Asociados - OpenBrokers
132000000,3709,164384,LaFlorida,Referencia,3,1,60,60,2,11980161,Corredores Asociados - OpenBrokers
85000000,2388,105853,PuenteAlto,PuntaBlanca,2,1,45,60,1,8284994,Metro cúbico propiedades
82000000,2304,102117,PadreHurtado,segundatransversalconlostordos,2,1,50,60,1,11808592,Mi Llave
50000000,1405,62267,LaFlorida,Bahiacatalinaag/mariaelena,3,1,65,60,,6697977,Propiedades Centro Santiago SPA
52000000,1461,64757,LaGranja,PasajeAndacolloesquinaSanJosedelaestrella,3,1,76,60,1,11357043,Unne
106770000,3000,132964,Maipú,Labandurriaazulag-61506/longitudinal,3,1,80,60,2,10103611,Propiedades Centro Santiago SPA
65000000,1826,80946,Maipú,LasNaciones/Av.Portales,3,1,78,60,,8959059,Propiedades Centro Santiago SPA
73279810,2059,91258,Maipú,Caminoarinconada/pasajevadoazul,3,1,60,60,1,8301731,Jaime Moris Propiedades (Providencia)
60000000,1686,74720,Maipú,CalleLasTinajas,3,1,90,60,,11680296,Nexxos
42000000,1180,52304,Colina,VillaClaudioArrau,2,1,69,60,,11326062,Grupo Premium Propiedades Santiago
68688700,1930,85540,SanBernardo,Volcanquetrupillan,2,1,58,60,,11673389,Nexxos
125000000,3512,155666,PuenteAlto,Pieandino,4,2,60,60,1,6936779,Houm
63000000,1770,78456,LaPintana,Observatorio/VioletaParra,3,2,100,60,1,10350952,Procasa Adrián Ulloa Propiedades
81145200,2280,101053,Independencia,Bezanilla,3,1,60,60,,10067363,Houm
75735520,2128,94316,Recoleta,Campino,3,1,42,60,1,7677507,Houm
50000000,1405,62267,LaPintana,JoaquinEdwardsBello/ApóstolFelipe,3,1,33,60,1,8124182,Procasa Adrián Ulloa Propiedades
53000000,1489,66002,PuenteAlto,Santiagomenadier.,3,1,53,60,1,11595444,Nexxos
71180000,2000,88643,PuenteAlto,ManuelBulnes,2,1,60,60,1,10059926,Houm
55000000,1545,68493,SanBernardo,AlfonsoCalderón,3,1,42,60,1,7940750,Unne
65000000,1826,80946,PuenteAlto,Eduardocordero,3,2,48,60,2,9371754,Unne
55000000,1545,68493,PuenteAlto,Avda.laSerena,2,1,60,60,1,9958456,Urbalia
57000000,1602,70984,Santiago,Santiaguillo1060,3,1,60,60,,11588438,Puquén Propiedades
50000000,1405,62267,PuenteAlto,cerrohornillapuentealto,3,1,60,60,1,11225607,Todo Propiedades
55000000,1545,68493,SanBernardo,SanBernardo,3,1,43,60,1,5853383,Mundo Propiedades Chile
3171,0,4,Maipú,BernardoVer55,3,1,60,60,1,11572691,
60000000,1686,74720,PuenteAlto,AvenidaMexico/VolcánLicanbur,2,1,46,60,1,11250457,Unne
65000000,1826,80946,LaFlorida,LaFlorida,3,1,60,60,,7738530,
80000000,2248,99626,Maipú,SantaFlorencia,3,1,43,60,,11545696,Unne
47000000,1321,58531,PuenteAlto,CerroMorado,2,1,67,60,1,8297752,Legales y Propiedades SpA
65000000,1826,80946,LaFlorida,SanJosédelaEstrella,3,1,60,60,,9858332,Unne
200000000,5620,249066,LaFlorida,Elmembrillar/vicuñamackenna,3,1,220,60,,7234151,Propiedades Ricardo Vial y Cia. Ltda.
45000000,1264,56040,PuenteAlto,Un-58888chiloe/curacodevelez,2,1,39,60,,7718781,Propiedades Centro Santiago SPA
45000000,1264,56040,PuenteAlto,Chepu,3,2,,60,1,7020719,Legales y Propiedades SpA
55000000,1545,68493,LaFlorida,mariaelenaconbahiainglesa,2,1,34,60,1,11101473,Nexxos
58723500,1650,73130,PuenteAlto,NonatoCooSanCarlos,3,1,55,60,1,11101804,Nexxos
65000000,1826,80946,Peñalolén,VillaLosNaranjos/Av.LasTorres,3,1,60,60,1,4143138,Jorge Pablo Caro Propiedades
68000000,1911,84682,LaFlorida,SeVendeCasacercanaalaAvda.SantaRaquel,2,1,72,60,1,11418069,Mi Llave
55000000,1545,68493,SanBernardo,Avenidaportales/estacioncincopinos,2,1,62,60,,11408110,Mi Llave
60000000,1686,74720,Maipú,Avleguisamo-avlasnacionesag-57174/lasnaciones,2,1,60,60,,6656994,Propiedades Centro Santiago SPA
